"Comp1","Comp2","Comp3","Variável"
1.27251883715515,-0.24424058107427,-1.78826879130731,"SG_UF"
0.838919740262864,-0.0227237079364715,0.999113945578644,"SG_UF"
1.1810970851824,-0.33322814067965,-1.86486100494047,"SG_UF"
1.0625231194771,-0.370866216800966,-1.79099287321333,"SG_UF"
0.822821814326443,-0.064440471626564,1.04641155877199,"SG_UF"
0.829849482276407,0.0266248686050977,1.02123199965496,"SG_UF"
-0.633156321386018,-0.478092634146315,0.269412538054699,"SG_UF"
0.0172439454483321,-0.96526709748006,-1.57163285340009,"SG_UF"
1.04952365997109,0.0117417529219243,1.02299104818322,"SG_UF"
-0.62105720485524,-0.464693369134931,0.277450699824055,"SG_UF"
-0.106730604007903,-0.919980656775898,-1.60963917626444,"SG_UF"
-0.0600250157488149,-1.07006530163001,-1.58803819779643,"SG_UF"
0.998920752999584,-0.454213589742822,-1.78889528999277,"SG_UF"
0.794564260508858,0.0799765797842317,1.01573645306023,"SG_UF"
0.71564748074317,-0.00961172538393568,1.00761326261507,"SG_UF"
0.941157431106024,0.00994309620296735,1.03761453596218,"SG_UF"
-0.630929243649439,2.44811710798161,-0.590472266964304,"SG_UF"
-0.813669838508223,-0.477393972772892,0.282198840595631,"SG_UF"
0.748673248151745,0.0881290416495939,1.02475239156429,"SG_UF"
0.82427771107696,-0.413642775020032,-1.80773836534093,"SG_UF"
1.10705346867753,-0.268794825153591,-1.96967701012453,"SG_UF"
-0.698293369620716,2.5604188513432,-0.578895554705685,"SG_UF"
-0.785332886354627,2.52750873139214,-0.593449395118012,"SG_UF"
0.782767489774835,-0.0622699517155729,1.02847463484917,"SG_UF"
-0.947421822794926,-0.394562377729301,0.263273966593961,"SG_UF"
0.822753414573136,-0.492154008845922,-1.79224033762589,"SG_UF"
-0.094392561317332,0.0427766261501878,-0.0931110553690645,"DS_TIPO_DEFICIENCIA"
-0.487156592981847,-0.254165450515628,0.0411025045415484,"DS_TIPO_DEFICIENCIA"
-0.131971405513234,-0.0257271212674873,-0.0922736222756338,"DS_TIPO_DEFICIENCIA"
-0.332612072473533,-0.093598383592126,0.0505623556798709,"DS_TIPO_DEFICIENCIA"
0.323428551123947,0.134195874354149,0.027330280479314,"DS_TIPO_DEFICIENCIA"
-0.214845082508298,-0.0554979979933871,-0.000176788316431584,"DS_GENERO"
0.155566127474524,0.0401852745690915,0.000128009789404672,"DS_GENERO"
-0.551507446082503,-0.70077052617243,-0.225219766738672,"DS_FAIXA_ETARIA"
1.20936939380922,0.300480445256847,0.251955752259966,"DS_FAIXA_ETARIA"
1.06696398308596,0.406616933366108,0.150505412721618,"DS_FAIXA_ETARIA"
0.588443947708244,0.530401205833389,0.069882580122389,"DS_FAIXA_ETARIA"
0.367655346743089,0.504663142471257,0.0529284728094032,"DS_FAIXA_ETARIA"
0.483002300131745,0.315006139116261,0.018781506916949,"DS_FAIXA_ETARIA"
0.48270579670382,0.233824634640209,-0.0317937186065515,"DS_FAIXA_ETARIA"
0.358825733181376,0.0648344011906331,-0.131425898701909,"DS_FAIXA_ETARIA"
0.16834596503082,0.0752010309387711,-0.117548179384426,"DS_FAIXA_ETARIA"
0.0302305431568814,-0.0238162413090987,-0.0844185677717788,"DS_FAIXA_ETARIA"
-0.137195356552416,-0.146008017669517,-0.0466350058535084,"DS_FAIXA_ETARIA"
-0.192826568508905,-0.22902740596082,-0.0143331507561902,"DS_FAIXA_ETARIA"
-0.298910886821629,-0.258724756467974,-0.00939356540352359,"DS_FAIXA_ETARIA"
-0.445425903812119,-0.270262152345405,0.0599400658320327,"DS_FAIXA_ETARIA"
-0.607674878749695,-0.293482490300754,0.0290493505405429,"DS_FAIXA_ETARIA"
-0.857143510028344,-0.309640065747222,0.000699478742071745,"DS_FAIXA_ETARIA"
-0.875348763738232,-0.278836798866252,-0.10466274891748,"DS_FAIXA_ETARIA"
-0.926978466411288,-0.300154960812619,-0.108434770737526,"DS_FAIXA_ETARIA"
-0.935034050206766,-0.36002276783148,-0.0221245623906462,"DS_FAIXA_ETARIA"
-1.08312996238973,-0.446588198922226,-0.0176014954568251,"DS_FAIXA_ETARIA"
-1.09816419913343,-0.328312826544714,0.106671522137002,"DS_FAIXA_ETARIA"
-0.966782615963807,-0.472382577956532,0.343642845760085,"DS_FAIXA_ETARIA"
0.410155139139673,-0.0519487598370349,-0.02368237905035,"DS_GRAU_ESCOLARIDADE"
-0.475946236121024,-0.0756785447371369,0.0501846330274558,"DS_GRAU_ESCOLARIDADE"
-0.0435906681541327,-0.167793760472133,-0.0288150943106876,"DS_GRAU_ESCOLARIDADE"
-0.282118701293155,0.0253932069314008,-0.012136566536913,"DS_GRAU_ESCOLARIDADE"
0.685086637367611,0.409373696807766,0.0950838919599594,"DS_GRAU_ESCOLARIDADE"
